Id	Text
137	Abnormality of the tongue
138	Macroglossia
139	Abnormality of the lip
140	Narrow mouth
141	Median cleft lip
142	Glossoptosis
143	Abnormality of the oral cavity
144	Abnormality of the dentition
145	Severe periodontitis
146	Abnormality of the gingiva
147	Gingival fibromatosis
148	Microglossia
149	Abnormality of the uvula
150	Abnormality of the palate
151	Cleft palate
152	Submucous cleft hard palate
153	Abnormality of upper lip
154	Abnormality of lower lip
155	Thick lower lip vermilion
156	Lobulated tongue
157	Movement abnormality of the tongue
158	Difficulty in tongue movements
159	Cleft soft palate
160	Broad alveolar ridges
161	Short upper lip
162	Narrow palate
163	Abnormality of oral frenula
164	Accessory oral frenulum
165	Bifid uvula
166	Open mouth
167	Lower lip pit
168	Abnormality of parotid gland
169	Absence of Stensen duct
170	Tongue nodules
171	Short lingual frenulum
172	Pierre-Robin sequence
173	Oral cleft
174	Cleft upper lip
175	Pursed lips
176	Glossitis
177	Triangular mouth
178	Trismus
179	Gingival overgrowth
180	Lip telangiectasia
181	Thick upper lip vermilion
182	Broad secondary alveolar ridge
183	Xerostomia
184	High palate
185	Thin upper lip vermilion
186	Velopharyngeal insufficiency
187	Furrowed tongue
188	Gingival hyperkeratosis
189	Abnormality of taste sensation
190	Decreased taste sensation
191	Gingival bleeding
192	Tongue telangiectasia
193	Oral cavity telangiectasia
194	Gingivitis
195	Everted lower lip vermilion
196	Thin vermilion border
197	Abnormality of the head
198	Abnormality of the fontanelles or cranial sutures
199	Abnormality of the anterior fontanelle
200	Small anterior fontanelle
201	Hydrocephalus
202	Large fontanelles
203	Abnormality of skull size
204	Parietal bossing
205	Trigonocephaly
206	Brachyturricephaly
207	Abnormality of the paranasal sinuses
208	Sinusitis
209	Brachycephaly
210	Dense calvaria
211	Microcephaly
212	Progressive microcephaly
213	Acute sinusitis
214	Macrocephaly
215	Wide anterior fontanel
216	Turricephaly
217	Oxycephaly
218	Abnormality of the mastoid
219	Mastoiditis
220	Cranial asymmetry
221	Dolichocephaly
222	Prominent occiput
223	Delayed cranial suture closure
224	Abnormality of the face
225	Malar flattening
226	Facial grimacing
227	Small face
228	Narrow face
229	Long face
230	Abnormality of the mandible
231	Retrognathia
232	Coarse facial features
233	Facial edema
234	Broad face
235	obsolete Abnormality of the ocular region
236	Epicanthus
237	Increased facial adipose tissue
238	Abnormality of the philtrum
239	Broad philtrum
240	Abnormality of the forehead
241	Abnormality of facial adipose tissue
242	Loss of facial adipose tissue
243	Full cheeks
244	Low anterior hairline
245	Doll-like facies
246	Facial hypotonia
247	Mask-like facies
248	Oval face
249	Abnormality of facial musculature
250	Mandibular prognathia
251	Abnormality of the chin
252	Pointed chin
253	Microretrognathia
254	Abnormality of the midface
255	Round face
256	Abnormality of the orbital region
257	Hypertelorism
258	Facial myokymia
259	Smooth philtrum
260	Bird-like facies
261	Square face
262	Short philtrum
263	Facial asymmetry
264	Triangular face
265	Abnormality of the maxilla
266	Hypoplasia of the maxilla
267	Facial hemangioma
268	Short chin
269	Prominent supraorbital ridges
270	Broad forehead
271	Hypomimic face
272	Pugilistic facies
273	Sloping forehead
274	Narrow forehead
275	Long philtrum
276	Whistling appearance
277	Micrognathia
278	High forehead
279	Widow's peak
280	Small forehead
281	Abnormality of the outer ear
282	Abnormal location of ears
283	Posteriorly rotated ears
284	Abnormality of the inner ear
285	Tinnitus
286	obsolete Pulsatile tinnitus (tympanic paraganglioma)
287	Otosclerosis
288	Abnormality of earlobe
289	Hearing abnormality
290	Hearing impairment
291	Abnormality of the nose
292	"Low-set, posteriorly rotated ears"
293	Low-set ears
294	Abnormality of the middle ear
295	Acute otitis media
296	Abnormality of the auditory canal
297	Abnormality of cochlea
298	Incomplete partition of the cochlea type II
299	Abnormality of the pinna
300	Cupped ear
301	Stapes ankylosis
302	Abnormality of periauricular region
303	Preauricular skin tag
304	Small earlobe
305	Absent earlobe
306	Otitis media
307	Chronic otitis media
308	Thickened helices
309	Lop ear
310	Prominent antihelix
311	Overfolded helix
312	Prelingual sensorineural hearing impairment
313	Macrotia
314	Stenosis of the external auditory canal
315	Recurrent otitis media
316	Conductive hearing impairment
317	Sensorineural hearing impairment
318	Progressive sensorineural hearing impairment
319	Mixed hearing impairment
320	Protruding ear
321	Atresia of the external auditory canal
322	Bulbous nose
323	Abnormality of the choanae
324	Slender nose
325	Narrow nasal ridge
326	Abnormality of the nasal septum
327	Short nasal septum
328	Epistaxis
329	Abnormality of the nasal bridge
330	Prominent nasal bridge
331	Abnormality of the nasal alae
332	Underdeveloped nasal alae
333	Wide nasal bridge
334	Abnormality of the nasal mucosa
335	Nasal mucosa telangiectasia
336	Abnormality of the nasal tip
337	Depressed nasal tip
338	Convex nasal ridge
339	Wide nose
340	Narrow nasal bridge
341	Pear-shaped nose
342	Prominent nose
343	Triangular nasal tip
344	Choanal stenosis
345	Choanal atresia
346	Flared nostrils
347	Broad nasal tip
348	Bifid nasal tip
349	Depressed nasal ridge
350	Anosmia
351	Narrow nose
352	Anteverted nares
353	Abnormality of the neck
354	Webbed neck
355	Limited neck range of motion
356	Neck muscle weakness
357	Increased adipose tissue around the neck
358	Short neck
359	Gastrointestinal angiodysplasia
360	Long neck
361	Torticollis
362	Thickened nuchal skin fold
363	Broad neck
364	Cystic hygroma
365	Abnormality of the eye
366	Abnormal retinal morphology
367	Retinal coloboma
368	Abnormality of the cornea
369	Microcornea
370	Astigmatism
371	Hyperopic astigmatism
372	Megalocornea
373	Strabismus
374	Congenital strabismus
375	Retinopathy
376	obsolete Abnormality of globe location or size
377	Deeply set eye
378	Keratitis
379	Abnormality of the eyelid
380	Abnormal foveal morphology
381	Downslanted palpebral fissures
382	Recurrent corneal erosions
383	Abnormality of eye movement
384	Globe retraction and deviation on abduction
385	Blepharitis
386	Abnormality of the eyelashes
387	Glaucoma
388	Abnormality of the conjunctiva
389	Tortuosity of conjunctival vessels
390	Abnormality of vision
391	Visual impairment
392	Telecanthus
393	Ptosis
394	Conjunctivitis
395	Rod-cone dystrophy
396	Vertical supranuclear gaze palsy
397	Abnormal electroretinogram
398	Slow saccadic eye movements
399	Abnormality of the lens
400	Cataract
401	Congenital cataract
402	Proptosis
403	Alacrima
404	Subcapsular cataract
405	Conjunctival telangiectasia
406	Abnormality iris morphology
407	Aniridia
408	Long eyelashes
409	Anophthalmia
410	Progressive visual loss
411	Corneal crystals
412	Chorioretinal abnormality
413	Chorioretinal atrophy
414	Abnormal eyebrow morphology
415	Sparse and thin eyebrow
416	Epicanthus inversus
417	Pseudopapilledema
418	Abnormality of refraction
419	Hypermetropia
420	Retinal detachment
421	Impaired ocular adduction
422	Optic disc pallor
423	External ophthalmoplegia
424	Myopia
425	Retinal degeneration
426	Tapetoretinal degeneration
427	Cone/cone-rod dystrophy
428	Abnormal conjugate eye movement
429	Undetectable electroretinogram
430	Abnormality of color vision
431	Tritanomaly
432	Abnormality of the uvea
433	Uveitis
434	Leukocoria
435	Retinal dystrophy
436	Buphthalmos
437	Rieger anomaly
438	Corneal scarring
439	Absent eyelashes
440	Keratoconus
441	Lacrimal duct atresia
442	Esotropia
443	Chorioretinal coloboma
444	Microphthalmia
445	Abnormality of saccadic eye movements
446	Hypometric saccades
447	Visual loss
448	Retinal hemorrhage
449	Thick eyebrow
450	Scotoma
451	Centrocecal scotoma
452	Exotropia
453	Nasolacrimal duct obstruction
454	Pigmentary retinopathy
455	Blepharophimosis
456	Upslanted palpebral fissure
457	Punctate corneal epithelial erosions
458	Band keratopathy
459	Shallow orbits
460	Abnormality of the optic nerve
461	Optic nerve coloboma
462	Coloboma
463	Progressive external ophthalmoplegia
464	Abnormality of the sclera
465	Blue sclerae
466	Abnormal anterior chamber morphology
467	Shallow anterior chamber
468	Ophthalmoparesis
469	Abnormality of the ear
470	Abnormality of the frontal hairline
471	Abnormality of the pharynx
472	Hypotelorism
473	Ophthalmoplegia
474	Central scotoma
475	Supranuclear gaze palsy
476	Abnormality of the periorbital region
477	Periorbital wrinkles
478	Macular degeneration
479	Optic nerve hypoplasia
480	Abnormality of the choroid
481	obsolete Choroid coloboma
482	Iris coloboma
483	Photophobia
484	Abnormality of the nasolacrimal system
485	Abnormal pupil morphology
486	Miosis
487	Abnormality of ocular smooth pursuit
488	Blindness
489	Impaired convergence
490	Dacryocystitis
491	Entropion
492	Blurred vision
493	Supranuclear ophthalmoplegia
494	Cleft eyelid
495	Posterior embryotoxon
496	Periorbital fullness
497	Abnormal retinal artery morphology
498	Retinal arterial tortuosity
499	Lacrimation abnormality
500	Decreased lacrimation
501	Impaired ocular abduction
502	Blue irides
503	Upper eyelid coloboma
504	Long palpebral fissure
505	Nystagmus
506	Gaze-evoked nystagmus
507	Dysmetric saccades
508	Red-green dyschromatopsia
509	Blepharospasm
510	Amblyopia
511	Sclerocornea
512	Optic atrophy
513	Abnormality of visual evoked potentials
514	Abnormal amplitude of pattern reversal visual evoked potentials
515	Diplopia
516	Lower eyelid coloboma
517	Sparse eyelashes
518	Decreased light- and dark-adapted electroretinogram amplitude
519	Vitreoretinal degeneration
520	Ectropion
521	Oculomotor apraxia
522	Eyelid apraxia
523	Peters anomaly
524	Lipemia retinalis
525	Palpebral fissure narrowing on adduction
526	Nyctalopia
527	Synophrys
528	Horizontal nystagmus
529	Phthisis bulbi
530	Hypodontia
531	Carious teeth
532	Anodontia
533	Macrodontia of permanent maxillary central incisor
534	Abnormality of the incisor
535	Oligodontia
536	Dental crowding
537	Taurodontia
538	Delayed eruption of primary teeth
539	Abnormality of dental enamel
540	Grayish enamel
541	Delayed eruption of teeth
542	Hypoplasia of teeth
543	Widely spaced teeth
544	Dental malocclusion
545	Agenesis of maxillary lateral incisor
546	Microdontia
547	Misalignment of teeth
548	Shell teeth
549	Natal tooth
550	Delayed eruption of permanent teeth
551	Conical tooth
552	Diastema
553	Periapical bone loss
554	Dentinogenesis imperfecta
555	Periodontitis
556	Amelogenesis imperfecta
557	Unerupted tooth
558	Abnormality of the nervous system
559	Behavioral abnormality
560	Psychosis
561	Hyperorality
562	Restlessness
563	Emotional lability
564	Agitation
565	Depressivity
566	Autism
567	Aggressive behavior
568	Inappropriate behavior
569	Mood swings
570	Lack of spontaneous play
571	Obsessive-compulsive behavior
572	Restrictive behavior
573	Psychotic episodes
574	Dementia
575	Frontal lobe dementia
576	Impaired ability to form peer relationships
577	Autistic behavior
578	Inflexible adherence to routines or rituals
579	Stereotypy
580	Disinhibition
581	Impaired social interactions
582	Short attention span
583	Irritability
584	Hallucinations
585	Anxiety
586	Episodic paroxysmal anxiety
587	Apathy
588	Self-mutilation
589	Frontal release signs
590	Low frustration tolerance
591	Diminished motivation
592	Delusions
593	Inappropriate laughter
594	Paroxysmal bursts of laughter
595	Delayed speech and language development
596	Personality changes
597	Hyperactivity
598	Autism with high cognitive abilities
599	Agoraphobia
600	Lack of insight
601	Impaired use of nonverbal behaviors
602	Abnormal peripheral nervous system morphology
603	Decreased nerve conduction velocity
604	Sensory neuropathy
605	Peripheral axonal degeneration
606	Abnormality of the thorax
607	Abnormality of the sternum
608	Pectus excavatum
609	Pectus carinatum
610	Abnormality of the breast
611	Gynecomastia
612	Abnormality of the ribs
613	Short ribs
614	Narrow chest
615	Abnormality of the diaphragm
616	Congenital diaphragmatic hernia
617	Abnormality of the thymus
618	Hypoplasia of the thymus
619	Abnormality of the scapula
620	Primary amenorrhea
621	Nephrolithiasis
622	Infertility
623	Hematuria
624	Uric acid nephrolithiasis
625	Membranoproliferative glomerulonephritis
626	IgA deposition in the glomerulus
627	Abnormality of the urethra
628	Urethral obstruction
629	Oligospermia
630	Renal steatosis
631	Cystic renal dysplasia
632	Impotence
633	Renal cortical cysts
634	Xanthine nephrolithiasis
635	Enuresis
636	Glandular hypospadias
637	Penoscrotal hypospadias
638	Urinary tract atresia
639	Abnormal external genitalia
640	Abnormal internal genitalia
641	Bicornuate uterus
642	Hypergonadotropic hypogonadism
643	Abnormality of Krebs cycle metabolism
644	Poor eye contact
645	Abnormality of the endocrine system
646	Diabetes mellitus
647	Abnormality of the thyroid gland
648	Hypothyroidism
649	Hypertension
650	Delayed puberty
651	Growth hormone deficiency
652	Hyperinsulinemic hypoglycemia
653	Precocious puberty
654	Abnormality of the parathyroid gland
655	Hypoparathyroidism
656	Anterior hypopituitarism
657	Insulin-resistant diabetes mellitus
658	Primary hypothyroidism
659	Glucose intolerance
660	Abnormality of the adrenal glands
661	Adrenal hypoplasia
662	Hyperthyroidism
663	Increased circulating gonadotropin level
664	Pituitary dwarfism
665	Adrenogenital syndrome
666	Hyperactive renin-angiotensin system
667	Hyperinsulinemia
668	Hyperparathyroidism
669	Growth hormone excess
670	Adrenal insufficiency
671	Abnormality of renin-angiotensin system
672	Increased circulating renin level
673	Adrenocortical abnormality
674	Congenital hypothyroidism
675	Pseudohypoparathyroidism
676	Goiter
677	Thyroid adenoma
678	Insulin resistance
679	Neonatal insulin-dependent diabetes mellitus
680	Menstrual irregularities
681	Hyperaldosteronism
682	Parathyroid hypoplasia
683	Central diabetes insipidus
684	Abnormality of the hypothalamus-pituitary axis
685	Euthyroid multinodular goiter
686	Secondary hyperparathyroidism
687	Decreased fertility in females
688	Secondary amenorrhea
689	Prolactin excess
690	Panhypopituitarism
691	Hashimoto thyroiditis
692	Diabetes insipidus
693	Episodic hypertension
694	Oligomenorrhea
695	Insulin-resistant diabetes mellitus at puberty
696	11 pairs of ribs
697	Short sternum
698	Hypoplastic scapulae
699	Thin ribs
700	Prominent sternum
701	Broad ribs
702	Deformed rib cage
703	Cupped ribs
704	Horizontal ribs
705	Abnormality of the clavicle
706	Long clavicles
707	Cervical ribs
708	Bifid ribs
709	Bulging of the costochondral junction
710	Short clavicles
711	Lateral clavicle hook
712	Rib exostoses
713	Rachitic rosary
714	Thickened ribs
715	Rib fusion
716	Flaring of rib cage
717	Progressive clavicular acroosteolysis
718	Anterior rib cupping
719	Wide-cupped costochondral junctions
720	Flat glenoid fossa
721	Sprengel anomaly
722	Posterior rib fusion
723	Shield chest
724	Pectus excavatum of inferior sternum
725	Broad clavicles
726	Superior pectus carinatum
727	Scapular exostoses
728	Abnormality of the costochondral junction
729	Enlargement of the costochondral junction
730	Missing ribs
731	Posterior rib cupping
732	Beaded ribs
733	Abnormality of the skeletal system
734	Abnormality of the vertebral column
735	Platyspondyly
736	Abnormality of skeletal maturation
737	Abnormality of the skull
738	Elevated imprint of the transverse sinuses
739	Thinning and bulging of the posterior fossa bones
740	Abnormality of the posterior cranial fossa
741	Posterior fossa cyst at the fourth ventricle
742	Chondrocalcinosis
743	Thickened cortex of long bones
744	Osteopenia
745	Osteoporosis
746	Abnormal diaphysis morphology
747	Short diaphyses
748	Dysostosis multiplex
749	Abnormality of the metaphysis
750	Hypoplastic ilia
751	Dumbbell-shaped long bone
752	Abnormality of the skin
753	Jaundice
754	Hyperpigmentation of the skin
755	Single transverse palmar crease
756	Acanthosis nigricans
757	Cafe-au-lait spot
758	Dry skin
759	Sacral dimple
760	Cyanosis
761	Hyperkeratosis
762	Thin skin
763	Eczema
764	Cutis marmorata
765	Hypohidrosis
766	Petechiae
767	Ectodermal dysplasia
768	Edema
769	Anhidrosis
770	Abnormality of the sweat gland
771	Palmoplantar hyperkeratosis
772	Cutis laxa
773	Hyperextensible skin
774	Hyperhidrosis
775	Eczematoid dermatitis
776	Soft skin
777	Bruising susceptibility
778	Purpura
779	Pallor
780	Palmoplantar keratoderma
781	Atypical scarring of skin
782	Skin rash
783	Pruritus
784	Xanthomatosis
785	Cutaneous photosensitivity
786	Molluscoid pseudotumors
787	Melanocytic nevus
788	Facial capillary hemangioma
789	Axillary freckling
790	Hypertrichosis
791	Pyoderma
792	Abnormality of skin pigmentation
793	Abnormality of subcutaneous fat tissue
794	obsolete Decreased subcutaneous fat
795	Multiple lentigines
796	Lymphedema
797	Dermatological manifestations of systemic disorders
798	Hypotrichosis
799	Hirsutism
800	Accumulation of melanosomes in melanocytes
801	Telangiectasia
802	Hypopigmentation of the skin
803	obsolete Diaphoresis (with pheochromocytoma)
804	Multiple lipomas
805	Eruptive xanthomas
806	Angiokeratoma
807	Prominent superficial veins
808	Anemic pallor
809	Abnormal palmar dermatoglyphics
810	Erythroderma
811	Albinism
812	Skin dimple over apex of long bone angulation
813	Urticaria
814	Penetrating foot ulcers
815	"Soft, doughy skin"
816	Hemangioma
817	Poikiloderma
818	Fragile skin
819	Subcutaneous lipoma
820	Absent distal interphalangeal creases
821	Facial flushing after alcohol intake
822	Hypermelanotic macule
823	Parakeratosis
824	Warfarin-induced skin necrosis
825	Atheroeruptive xanthoma
826	Multiple pterygia
827	Facial erythema
828	High axial triradius
829	Prominent scalp veins
830	Vitiligo
831	Intermittent jaundice
832	Atopic dermatitis
833	Cavernous hemangioma
834	Absent dorsal skin creases over affected joints
835	Plethora
836	Seborrheic dermatitis
837	Nevus flammeus
838	Hypopigmented skin patches
839	Numerous nevi
840	Erysipelas
841	Milia
842	Aplasia cutis congenita
843	Poor wound healing
844	Pterygium
845	Axillary pterygia
846	Acne
847	Atypical nevus
848	Acrocyanosis
849	Striae distensae
850	Neurofibromas
851	Episodic hyperhidrosis
852	Mottled pigmentation
853	Angiokeratoma corporis diffusum
854	Thickened skin
855	Cigarette-paper scars
856	Atypical nevi in non-sun exposed areas
857	Atrophic scars
858	Glabellar hemangioma
859	Biliary tract abnormality
860	Cholelithiasis
861	Cholecystitis
862	Ectopia lentis
863	Corneal arcus
864	Papilledema
865	Congenital glaucoma
866	Brushfield spots
867	Iris atrophy
868	Large eyes
869	Absent lacrimal punctum
870	Optic nerve dysplasia
871	Iridocyclitis
872	Hypertensive retinopathy
873	Keratoconjunctivitis
874	Keratoconjunctivitis sicca
875	Abnormality of the fundus
876	Fundus atrophy
877	Heterochromia iridis
878	Iritis
879	Angioid streaks of the retina
880	Abnormal macular morphology
881	Macular hypoplasia
882	Retinal atrophy
883	Periorbital hyperpigmentation
884	Ocular albinism
885	Leber optic atrophy
886	obsolete Early cataracts
887	Xanthelasma
888	Posterior polar cataract
889	Macular coloboma
890	Sudden loss of visual acuity
891	Juvenile cataract
892	Keratoglobus
893	Abnormality of corneal size
894	obsolete Aplasia/Hypoplasia of the choroid
895	Visual field defect
896	Transient unilateral blurring of vision
897	Cryptophthalmos
898	Trichiasis
899	Large central visual field defect
900	Corneal dystrophy
901	Lens subluxation
902	Constriction of peripheral visual field
903	Anterior polar cataract
904	Chorioretinal dystrophy
905	Retinal arteriolar tortuosity
906	Alternating esotropia
907	Optic neuropathy
908	Choroideremia
909	Epibulbar dermoid
910	Severe visual impairment
911	Lenticonus
912	Orbital cyst
913	obsolete Chorioretinopathy
914	Pigmentary retinal degeneration
915	Retinal exudate
916	Lattice corneal dystrophy
917	obsolete Choroidal sclerosis
918	Impaired horizontal smooth pursuit
919	Saccadic smooth pursuit
920	Septate vagina
921	Abnormality of the hand
922	Brachydactyly
923	Syndactyly
924	Hand polydactyly
925	Postaxial hand polydactyly
926	Abnormality of the metacarpal bones
927	Arachnodactyly
928	Abnormality of finger
929	Broad palm
930	Split hand
931	Abnormality of the thumb
932	Large hands
933	Preaxial hand polydactyly
934	Ulnar claw
935	Hand oligodactyly
936	Adducted thumb
937	Tapered finger
938	Hyperextensibility of the finger joints
939	Hand clenching
940	Abnormality of the carpal bones
941	Ulnar deviation of the hand or of fingers of the hand
942	Abnormalities of placenta or umbilical cord
943	Single umbilical artery
944	Short umbilical cord
945	Abnormality of prenatal development or birth
946	Triphalangeal thumb
947	Distal symphalangism of hands
948	Abnormality of the fingertips
949	Prominent fingertip pads
950	Camptodactyly of 2nd-5th fingers
951	Delayed ossification of carpal bones
952	Clubbing
953	Autoamputation
954	Interphalangeal joint contracture of finger
955	Spatulate thumbs
956	Pointed proximal second through fifth metacarpals
957	Wrist swelling
958	Acral ulceration and osteomyelitis leading to autoamputation of digits
959	Abnormality of the thenar eminence
960	Broad metacarpals
961	Abnormality of the fingernails
962	Nail bed telangiectasia
963	2-3 finger syndactyly
964	Hitchhiker thumb
965	Slender finger
966	Wrist flexion contracture
967	Capitate-hamate fusion
968	Small thenar eminence
969	Short tubular bones of the hand
970	Intellectual disability
971	Seizures
972	Ataxia
973	Muscular hypotonia
974	Lethargy
975	"Intellectual disability, mild"
976	Spasticity
977	Spastic paraplegia
978	Coma
979	Dysarthria
980	Excessive daytime somnolence
981	Global developmental delay
982	Spastic diplegia
983	Hyporeflexia
984	Choreoathetosis
985	Mental deterioration
986	Hemiparesis
987	Motor delay
988	Polyneuropathy
989	Cerebellar atrophy
990	Abnormality of the corpus callosum
991	Agenesis of corpus callosum
992	Hypertonia
993	Orthostatic hypotension
994	Syncope
995	Tetany
996	Bulbar palsy
997	Areflexia
998	Spastic tetraparesis
999	Meningitis
1000	Gait disturbance
1001	Confusion
1002	Generalized hypotonia
1003	Abnormality of the cranial nerves
1004	Cranial nerve compression
1005	Stroke
1006	Encephalopathy
1007	Parkinsonism
1008	Chronic sensorineural polyneuropathy
1009	Pachygyria
1010	Torsion dystonia
1011	Dandy-Walker malformation
1012	Tongue fasciculations
1013	Dysmetria
1014	Abnormal nervous system electrophysiology
1015	Giant somatosensory evoked potentials
1016	Reduced tendon reflexes
1017	Abnormality of the cerebellum
1018	Neonatal hypotonia
1019	Cerebellar vermis hypoplasia
1020	Cerebellar hypoplasia
1021	Brain very small
1022	Muscle weakness
1023	Hypoglycemic coma
1024	EEG with irregular generalized spike and wave complexes
1025	Photomyoclonic seizures
1026	Specific learning disability
1027	Absent septum pellucidum
1028	Dystonia
1029	Communicating hydrocephalus
1030	Bimanual synkinesia
1031	Myoclonus
1032	Tremor
1033	Partial agenesis of the corpus callosum
1034	Lissencephaly
1035	Enhancement of the C-reflex
1036	Olfactory lobe agenesis
1037	Cerebral hemorrhage
1038	Kernicterus
1039	Absent speech
1040	Psychotic mentation
1041	Hyperreflexia
1042	Brisk reflexes
1043	Facial diplegia
1044	Slurred speech
1045	Jerk-locked premyoclonus spikes
1046	Megalencephaly
1047	Plagiocephaly
1048	Holoprosencephaly
1049	Nystagmus-induced head nodding
1050	Calvarial skull defect
1051	Craniosynostosis
1052	Abnormal joint morphology
1053	Arthritis
1054	Rheumatoid arthritis
1055	Flexion contracture
1056	Joint dislocation
1057	Congenital hip dislocation
1058	Limitation of joint mobility
1059	Limited elbow extension
1060	obsolete Degenerative joint disease
1061	obsolete Ligamentous laxity
1062	Joint hypermobility
1063	Abnormality of the hip joint
1064	Hip dysplasia
1065	Joint swelling
1066	Joint stiffness
1067	Joint laxity
1068	Abnormality of the liver
1069	Cirrhosis
1070	Hepatic fibrosis
1071	Cholestasis
1072	Hepatic steatosis
1073	Hepatic failure
1074	obsolete Hepatic abscesses due to immunodeficiency
1075	Intrahepatic biliary dysgenesis
1076	Hepatocellular carcinoma
1077	Macrovesicular hepatic steatosis
1078	Hepatocellular necrosis
1079	Periportal fibrosis
1080	Intrahepatic cholestasis
1081	Hepatic cysts
1082	Bile duct proliferation
1083	Portal hypertension
1084	Decreased liver function
1085	Enteroviral hepatitis
1086	Micronodular cirrhosis
1087	Microvesicular hepatic steatosis
1088	X-linked inheritance
1089	X-linked recessive inheritance
1090	Abnormality of the musculature of the hand
1091	X-linked dominant inheritance
1092	Heterogeneous
1093	Multifactorial inheritance
1094	Mitochondrial inheritance
1095	Somatic mutation
1096	Abnormality of the calf musculature
1097	Hepatosplenomegaly
1098	Abnormality of the shoulder girdle musculature
1099	Abnormality of the foot musculature
1100	Abnormality of the musculature of the lower limbs
1101	Abnormality of abdomen morphology
1102	Metatarsal synostosis
1103	Abnormality of the musculature of the thigh
1104	Somatic mosaicism
1105	Abnormality of the gluteal musculature
1106	Autosomal dominant somatic cell mutation
1107	Abnormality of the hip-girdle musculature
1108	Abnormality of the musculature of the upper limbs
1109	Duplication of metatarsal bones
1110	Y-linked inheritance
1111	Autosomal dominant contiguous gene syndrome
1112	Abnormality of the upper arm
1113	Abnormality of the musculature of the upper arm
1114	1-3 toe syndactyly
1115	Aplasia/Hypoplasia involving the skeletal musculature
1116	Aplasia/Hypoplasia involving the shoulder musculature
1117	Amyotrophy involving the shoulder musculature
1118	Contiguous gene syndrome
1119	Aplasia/Hypoplasia involving the musculature of the upper limbs
1120	Aplasia/Hypoplasia involving the musculature of the upper arm
1121	Abnormality of the musculature of the pelvis
1122	Sex-limited autosomal dominant
1123	Aplasia/Hypoplasia of the musculature of the pelvis
1124	Familial predisposition
1125	Metatarsal osteolysis
1126	Sclerotic scapulae
1127	Male-limited autosomal dominant
1128	Delayed closure of the anterior fontanelle
1129	Compensatory chin elevation
1130	Freckling
1131	Subcutaneous nodule
1132	Eye poking
1133	obsolete Hypopigmented fundi
